"Slug","Title","Image","Image:alt","Food Category","short discription(should not be more than 1 sentence)"
"chicken-shish-kebab","$32 Chicken Shish Kebab (GF)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Chicken Shish Kebab (GF)","Grill","Two skewers of marinated chicken thigh fillets served with garlic dip and Cairo rice."
"lamb-kofta","$32 Lamb Kofta (GF)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Lamb Kofta (GF)","Grill","Two skewers of lean lamb mince served with hummus and Cairo rice."
"lamb-shish-kebab-(gf)","$34 Lamb Shish Kebab (GF)","https://framerusercontent.com/images/Z1neC7k36GEwTKXXUZvU5jds0jU.png","Lamb Shish Kebab (GF)","Grill","Tender lamb skewers served with hummus and Cairo rice."
"bbq-quails","$36 BBQ Quails (GF)","https://framerusercontent.com/images/PYB51XtkGkQ3Gef2nYoq3mFySA.png","BBQ Quails (GF)","Grill","Two marinated and grilled quails, served with Cairo rice, salad, and garlic dip."
"lamb-cutlets","$39 Lamb Cutlets","https://framerusercontent.com/images/yHsylPNH6Je6V0HoBxUwJY191o.jpeg","Lamb Cutlets","Grill","Grilled lamb cutlets with sautéed vegetables, thyme sauce, and chips."
"mix-grill","$42 Mix Grill (GF)","https://framerusercontent.com/images/IMHzvoxcKTcJpAaZEjaNTmw6l3w.jpg","Mix Grill (GF)","Grill","Lamb kofta, lamb kebab, and chicken kebab served with garlic and hummus dips."
"cairo-king-grill-for-two","$99 Cairo King Grill for Two (GF)","https://framerusercontent.com/images/7kaQnypGQoE7xcxTKFP5FLM0tUk.jpg","Cairo King Grill for Two (","Grill","Includes 3 dips, 2 lamb kebabs, 2 kofta, 2 chicken skewers, 2 chicken wings, and 1 grilled quail — a feast for two."
"koshari","$26 Koshari (Vegan)","https://framerusercontent.com/images/Ak1FTPvDSikmgEHLhaoEUqxtpu8.jpg","Koshari (Vegan)","mains","Egypt's famous street food: rice, lentils, pasta, chickpeas, salsa, fried onion, and dukkah."
"kawarah-(gfo)","$34 Kawarah (GFO)","https://framerusercontent.com/images/EQCBUIVbGva55f9wqxrIZZhiQ.jpg","Kawarah (GFO)","mains","Slow-cooked buffalo trotters served with vermicelli rice, garlic sauce, fried bread, and soup."
"molokhia-with-chicken","$32 Molokhia with Chicken (GF)","https://framerusercontent.com/images/W3OocEEQlH4MunzvLBh2j4pTelE.jpg","Molokhia with Chicken (GF)","mains","Egyptian green jute stew served with grilled chicken and vermicelli rice."
"samakmak-(gf)","$38 Samakmak (GF)","https://framerusercontent.com/images/fPadh5iVm7NKH9XkJ4ZnxINsks.jpg","Samakmak (GF)","mains","Singari-style baked barramundi fillet with onions, capsicum, and Chef Thawat's signature spices."
"lamb-shank-fattah-(gf)","$42 Lamb Shank Fattah (GF)","https://framerusercontent.com/images/aiOeGrWRUzkJnA5QaOztc6ng0.jpg","Lamb Shank Fattah (GF)","mains","Lamb shank over rice and angel hair pasta, topped with fried bread and garlic vinegar sauce."
"red-sea-grilled-or-fried-fish","$42 Red Sea Grilled or Fried Fish","https://framerusercontent.com/images/82ekliOYINWU7btyRCSGavIrnc.jpeg","Red Sea Grilled or Fried Fish","mains","Barramundi fillet, prawns, and calamari served with Sayadia rice, aioli, and salad."
"tagen-moussaka-falahi-(gfo)","$24 Tagen Moussaka Falahi (GFO)","https://framerusercontent.com/images/nhcnv8JpTlPP2GnJnal8idSsQ.jpg","Tagen Moussaka Falahi (GFO)","Tagen","Vegan eggplant, capsicum, and chilli baked in tomato purée, served with house bread."
"tagen-macarona-bechamel","$26 Tagen Macarona Bechamel","https://framerusercontent.com/images/6Tdn4xqnNmJwpact41DhUHrVoQ.jpg","Tagen Macarona Bechamel","Tagen","Egyptian-style penne pasta with spiced beef and béchamel sauce, claypot-baked."
"tagen-moussaka","$28 Tagen Moussaka ","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","","Tagen","Baked eggplant layered with beef mince and tomato, topped with creamy béchamel."
"tagen-calamari-iskandarani-(gfo)","$28 Tagen Calamari Iskandarani (GFO)","https://framerusercontent.com/images/wJTvD1dEskmlEtEDVcILVay2HY.jpg","Tagen Calamari Iskandarani (GFO)","Tagen","Spicy calamari baked in tomato purée, served with bread — the Alexandrian way."
"tagen-bamia-(gf)","$29 Tagen Bamia (GF)","https://framerusercontent.com/images/MtPgheACCiiRWQtY1L56xiMYbDg.jpeg","Tagen Bamia (GF)","Tagen","Classic okra and lamb stew slow-cooked in a claypot."
"tagen-lamb-roz-moammar-(gf)","$31 Tagen Lamb Roz Moammar (GF)","https://framerusercontent.com/images/irWrtLPaQRcbpDocyv9IF0xhG9Q.jpg","Tagen Lamb Roz Moammar (GF)","Tagen","Slow-baked lamb pieces with onions and cream over Egyptian-style rice."
"tagen-prawn-roz-moammar","$32 Tagen Prawn Roz Moammar (GF)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Tagen Prawn Roz Moammar (GF)","Tagen","Creamy rice cooked with prawns, garlic, and onions in a traditional Egyptian claypot."
"tagen-sayadia","$34 Tagen Sayadia","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Tagen Sayadia","Tagen","Barramundi fillet baked in spiced tomato and capsicum sauce, served on a bed of Sayadia rice."
"tagen-awaki","$38 Tagen Awaki","https://framerusercontent.com/images/PaZACSgVKxBDcTQh4xyWEbB0BI.jpg","Tagen Awaki","Tagen","Slow-cooked ox tail with potatoes and onions in traditional claypot spices, served with plain rice."
"tagen-super-sayadia","$40 Tagen Super Sayadia ","https://framerusercontent.com/images/nzv6oNWf8xYqBz2MIS3IoLRie2k.jpg","Tagen Super Sayadia ","Tagen","Barramundi fillet, calamari, and prawns baked in tomato and capsicum, served over Sayadia rice."
"salata-baladi","$11 Salata Baladi (Vegan) ","https://framerusercontent.com/images/2bh3MuMqu7oFBYw37RddyPGpJU.jpg","Salata Baladi (Vegan)","salads","Traditional Egyptian side salad with tomato, cucumber, onion, and lettuce, dressed in lemon and olive oil."
"fattoush-salad","$14 Fattoush Salad","https://framerusercontent.com/images/rTgWHmnINK0Dxy4tIpbmVOctV0.jpeg","Fattoush Salad","salads","Crisp Lebanese-style salad with radish, tomato, cucumber, and sumac, topped with pomegranate dressing."
"greek-salad","$18 Greek Salad","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Greek Salad","salads","Lettuce, feta, olives, cucumber, tomato, and capsicum."
"chicken-salad","$28 Chicken Salad","https://framerusercontent.com/images/47XDpjOfaRtlfz9RcfuxSe9vVLQ.jpg","Chicken Salad","salads","Marinated grilled chicken served over mixed greens with a signature Egyptian-style dressing."
"prawn-salad","$29 Prawn Salad","https://framerusercontent.com/images/AAeY8UXZG3MF8QZPUyRhffvFPSs.jpg","Prawn Salad","salads","Grilled prawns on mixed salad with garlic, lemon, and olive oil dressing."
"lamb-tenderloin-salad","$29 Lamb Tenderloin Salad","https://framerusercontent.com/images/Nl2OeitRK8bOZb70ao1TBVY1M.png","Lamb Tenderloin Salad","salads","Grilled lamb tenderloin on salad greens, topped with Egyptian dukkah."
"tourshi","$11 Tourshi (Vegan)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Tourshi (Vegan)","Dips","House-made mixed vegetable pickles."
"babaganoush","$12 Babaganoush (Vegan)","https://framerusercontent.com/images/tM5eZTCdnfBjdbDYSVg1VpW9BQ.jpeg","Babaganoush (Vegan)","Dips","Smoky roasted eggplant blended with tahini and garlic."
"hummus","$12 Hummus (Vegan)","https://framerusercontent.com/images/vs3ywjBs766PHrg3BA981zUiVQ.jpeg","Hummus (Vegan)","Dips","Creamy chickpea purée with tahini and olive oil."
"tahini","$12 Tahini (Vegan)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Tahini (Vegan)","Dips","Sesame paste with lemon, vinegar, and fresh parsley."
"peri-peri-dip","$12 Peri Peri Dip","https://framerusercontent.com/images/r8F8oVhTf9HNqjWivM3OYXapUpc.jpeg","Peri Peri Dip","Dips","Spicy and tangy blend made with fiery peri peri peppers."
"tzatziki","$12 Tzatziki ","https://framerusercontent.com/images/4PsOTvkPpCouSv9GjpT11AmyI.jpeg","Tzatziki ","Dips","Yogurt with cucumber and fresh mint."
"garlic-dip","$12 Garlic Dip (Vegan)","https://framerusercontent.com/images/bABZEtfihhrtj3iDVYU3pL084.jpeg","Garlic Dip","Dips","Smooth garlic purée with olive oil and lemon."
"feta-cheese-dip","$12 Feta Cheese Dip","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Feta Cheese Dip","Dips","Mixed feta with olives, herbs, and spice."
"selection-of-3-dips","$27 Selection of 3 dips","https://framerusercontent.com/images/SYjwtTpGk3eFHkjXecsWsa77VA.png","Selection of 3 dips","Dips","Choose any 3 dips, served with our fresh homemade bread."
"lentil-soup","$16 Lentil Soup","https://framerusercontent.com/images/85oVtbOsDb0nYOsVprerrLcyTU.jpeg","Lentil Soup","Entree","Classic Egyptian lentil soup, served warm with our house bread."
"molokhia-soup","$16 Molokhia Soup","https://framerusercontent.com/images/VNR5RVIezkxoggJgHKpSuIs9dY.png","Molokhia Soup","Entree","Traditional Egyptian green stew, served with our house bread."
"kawareh-soup","$19 Kawareh Soup","https://framerusercontent.com/images/oW1O4o85HNz3Fa0IBb7v4WFQZ20.jpg","Kawareh Soup","Entree","Traditional slow-cooked buffalo trotter soup, served with our house bread."
"cheese-sambousek","$16 Cheese Sambousek (5 pcs) (Vegetarian)","https://framerusercontent.com/images/pnK4LfV6vm4Zz5iebn0stJSk.jpeg","Cheese Sambousek","Entree","Pastry parcels filled with feta cheese and herbs."
"lamb-sambousek","$16 Lamb Sambousek (5 pcs)","https://framerusercontent.com/images/d84fAicEzidF8zvaKVcciNCyOJQ.jpeg","Lamb Sambousek","Entree","Golden pastries filled with seasoned lamb mince and onions."
"kobeba","$18 Kobeba","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Kobeba","Entree","Three deep-fried shells of ground beef and bulgur, stuffed with pine nuts, onions, and spices."
"chicken-wings","$18 Chicken Wings","https://framerusercontent.com/images/obG2Wx2YY2t0O3yRMHOQ79QuVbs.jpg","Chicken Wings","Entree","Chargrilled chicken wings marinated in Middle Eastern spices, served with garlic dip."
"calamari","$24 Calamari","https://framerusercontent.com/images/RWHCHQWH27x2dx9iZVu9bEE4g.jpg","Calamari","Entree","Crispy fried calamari served with garlic aioli."
"moumbar","$19 Moumbar (GF)","https://framerusercontent.com/images/KhAWeA8qmqPHPJoEZwClBNBUSZs.jpg","Moumbar ","Entree","Three pieces of sausage casing filled with spiced rice, tomato, onion, and herbs."
"hawawshi","$24 Hawawshi ","https://framerusercontent.com/images/KjuD3fCpvkflLq3WKzryIHmHk.jpg","Hawawshi ","Entree","Traditional Egyptian flatbread filled with spiced ground beef, onions, capsicum, and chilli."
"egyptian-waraq-enab","$24 Egyptian Waraq Enab (GF)","https://framerusercontent.com/images/i5I1mCxcJEpe8ZS2FHhvYN8doo.jpg","Egyptian Waraq Enab (GF)","Entree","Grape vine leaves stuffed with rice, herbs, and beef mince."
"kebda-iskandarani","$24 Kebda Iskandarani ","https://framerusercontent.com/images/wDbWJ2ysNK4KzEDF156tqu4CI.jpg","Kebda Iskandarani ","Entree","Veal liver pan-tossed with chilli, garlic & Chef Thawat's signature spices, served with tahini and our fresh bread."
"mango-mojito","$14 Mango Mojito","https://framerusercontent.com/images/LhLAPP3OgjrnsDLAprnNMIwZQ.jpg","Mango Mojito","Mocktails","A layered tropical drink with mango juice, lime, and fresh mint."
"egyptian-lemon-mint","$14 Egyptian Lemon Mint (Must Try)","https://framerusercontent.com/images/GHdS7wQ1vnRrWabRuQLEOkohSas.png","Egyptian Lemon Mint (Must Try)","Mocktails","A house favourite — fresh lemon juice, mint, and ice blended to perfection."
"nefertitis-dream","$16 Nefertiti's Dream","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Nefertiti's Dream","Mocktails","A rich blend of karkadeh, pineapple juice, aloe vera, and tropical fruit pieces."
"pharaoh-s-poison","$26 Pharaoh's Poison","https://framerusercontent.com/images/L2Tr9Vige0vVtNQJgYSAN6jwHkw.jpg","Pharaoh's Poison","Specialty Cocktails","Electric blue and bold — spiced rum, Malibu, Cointreau & Blue Curaçao in one powerful mix."
"cleopatras-kiss","$26 Cleopatra's Kiss","https://framerusercontent.com/images/xsDvW8EJORB1pd0uqTqUi13n4.png","Cleopatra's Kiss","Specialty Cocktails","A tropical blend kissed by the Queen herself — Malibu, banana liqueur, passionfruit liqueur & tropical juice."
"summer-in-cairo","$26 Summer in Cairo","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Summer in Cairo","Specialty Cocktails","Travel to Cairo with this fruity favourite — Chambord, vodka, strawberry schnapps & fresh strawberries."
"sparkling-wines-heading","Sparkling Wines","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Sparkling Wines","Wines","SUBHEADING"
"ciao-bella-prosecco","Ciao Bella Prosecco","https://framerusercontent.com/images/ndd5hyFc2mq93TWYZ25wpDkoogs.webp","Ciao Bella Prosecco","Wines","Glass $14 • Bottle $46"
"jacob-s-creek-trilogy","Jacob's Creek Trilogy","https://framerusercontent.com/images/HwnCvb7WXpKswVhgBfESFYY6zBI.png","Jacob's Creek Trilogy","Wines","Glass $13 • Bottle $39"
"white-wines-heading","White Wines","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","White Wines","Wines","SUBHEADING"
"squealing-pig-sauvignon-blanc","Squealing Pig Sauvignon Blanc","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Squealing Pig Sauvignon Blanc","Wines","Glass $14 • Bottle $48"
"tread-softly-pinot-grigio","Tread Softly Pinot Grigio","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Tread Softly Pinot Grigio","Wines","Glass $13 • Bottle $46"
"st-huberts-the-stag-chardonnay","St Huberts The Stag Chardonnay","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","St Huberts The Stag Chardonnay","Wines","Glass $13 • Bottle $44"
"zonin-moscato-veneto","Zonin Moscato Veneto","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Zonin Moscato Veneto","Wines","Glass $12 • Bottle $42"
"brown-brothers-moscato","Brown Brothers Moscato","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Brown Brothers Moscato","Wines","Glass $11 • Bottle $34"
"rose-wines-heading","Rosé Wines","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Rosé Wines","Wines","SUBHEADING"
"lyv-languedoc","LYV Languedoc - France","https://framerusercontent.com/images/AKrsm6diI5riwo8woom9TDw7gA.webp","LYV Languedoc - France","Wines","Glass $14 • Bottle $48"
"saint-louis-de-provence","Saint Louis de Provence, Estadon Rosé","https://framerusercontent.com/images/wFQwUt2V8L7wETluUS8Xq4Q18.jpeg","Saint Louis de Provence, Estadon Rosé","Wines","Glass $14 • Bottle $46"
"red-wines-heading","Red Wines","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Red Wines","Wines","SUBHEADING"
"pepperjack-barossa-shiraz","Pepperjack Barossa Shiraz","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Pepperjack Barossa Shiraz","Wines","Glass $14 • Bottle $48"
"wynns-coonawarra","Wynns Coonawarra Cab Shiraz Merlot","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Wynns Coonawarra Cab Shiraz Merlot","Wines","Glass $13 • Bottle $46"
"devils-corner-pinot-noir","Devils Corner Pinot Noir","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Devils Corner Pinot Noir","Wines","Glass $13 • Bottle $52"
"st-hallett-gamekeepers","St Hallett Gamekeeper's Barossa Shiraz","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","St Hallett Gamekeeper's Barossa Shiraz","Wines","Glass $13 • Bottle $46"
"el-valiente-tempranillo","El Valiente Spanish Tempranillo","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","El Valiente Spanish Tempranillo","Wines","Glass $12 • Bottle $48"
"latte","$6 Latte","https://framerusercontent.com/images/kM2WCFV0i8hVXpP3BtDcv7LYM.jpeg","Latte","Hot Drinks","Smooth espresso with steamed milk and a thin layer of foam."
"cappuccino","$6 Cappuccino","https://framerusercontent.com/images/yI3dHw7kc3VxOj9YZcOXMFkxdU.jpg","Cappuccino","Hot Drinks","Espresso with equal parts steamed milk and rich foam."
"flat-white","$6 Flat White","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Flat White","Hot Drinks","Velvety microfoam over a double shot of espresso."
"long-black","Long Black","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Long Black","Hot Drinks","$5"
"mocaccino","$5 Mocaccino","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Mocaccino","Hot Drinks","Espresso 'marked' with a dollop of foam."
"hot-chocolate","$7 Hot Chocolate","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Hot Chocolate","Hot Drinks","Rich, creamy cocoa topped with whipped cream."
"egyptian-sahlab","$8 Egyptian Sahlab (sweet drink)","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Egyptian Sahlab","Hot Drinks","Traditional Egyptian sweet and creamy hot beverage."
"chai-latte","$7 Chai Latte","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Chai Latte","Hot Drinks","Spiced chai tea with steamed milk and a touch of sweetness."
"dirt-chai-latte","$7 Dirt Chai Latte","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Dirt Chai Latte","Hot Drinks","Chai latte with a shot of espresso for an extra kick."
